date,1wk_WIS,1_week_roc,is_wis_above_avg,1st_deriv_stencil,week_of_year,moving_avg_WIS,lagged_1wk_WIS,loc_code,holiday_last_week
2023-11-11,8.24,0.0681818181818181,0,6.25,45,3.9933333333333336,1.55,47,0
2023-11-18,17.93,0.2127659574468086,0,12.833333333333334,46,9.24,8.24,47,1
2023-11-25,33.89,0.2807017543859649,0,18.5,47,20.02,17.93,47,0
2023-12-02,33.87,0.3424657534246575,0,43.083333333333336,48,28.563333333333333,33.89,47,1
2023-12-09,25.46,0.5612244897959184,0,36.25,49,31.07333333333333,33.87,47,0
2023-12-16,81.14,0.1764705882352941,1,56.91666666666666,50,46.82333333333333,25.46,47,0
2023-12-23,154.58,0.6333333333333333,1,214.58333333333331,51,87.06,81.14,47,0
2023-12-30,88.59,0.846938775510204,1,107.5,52,108.10333333333335,154.58,47,0
2024-01-06,329.21,-0.1123388581952118,1,-98.16666666666669,1,190.7933333333333,88.59,47,1
2024-01-13,312.44,-0.1825726141078838,1,-108.0,2,243.41333333333333,329.21,47,1
2024-01-27,6.85,-0.224376731301939,0,-90.25,4,216.16666666666663,312.44,47,1
2024-02-03,20.32,-0.2035714285714286,0,-38.75,5,113.20333333333332,6.85,47,0
2024-02-10,49.67,-0.116591928251121,0,-12.25,6,25.613333333333333,20.32,47,0
2024-02-17,61.42,-0.0101522842639594,1,2.833333333333333,7,43.80333333333334,49.67,47,0
2024-02-24,84.81,0.0410256410256411,1,28.75,8,65.3,61.42,47,0
2024-03-02,39.78,0.167487684729064,0,-4.75,9,62.00333333333334,84.81,47,1
2024-03-09,8.29,-0.2067510548523207,0,-63.75,10,44.29333333333333,39.78,47,0
2024-03-16,7.11,-0.2978723404255319,0,-27.416666666666668,11,18.39333333333333,8.29,47,0
2024-03-23,17.17,-0.0303030303030302,0,-23.0,12,10.856666666666667,7.11,47,0
2024-03-30,6.49,-0.328125,0,-42.0,13,10.256666666666668,17.17,47,0
2023-10-28,2.16,-0.4444444444444444,0,-0.1666666666666666,43,2.303333333333333,0.62,49,0
2023-11-04,1.64,0.8,0,0.1666666666666666,44,1.4733333333333334,2.16,49,0
2023-11-11,0.73,-0.4444444444444444,0,-1.75,45,1.51,1.64,49,0
2023-11-18,0.61,0.3999999999999999,0,2.6666666666666665,46,0.9933333333333332,0.73,49,1
2023-11-25,4.89,0.4285714285714286,0,5.666666666666667,47,2.0766666666666667,0.61,49,0
2023-12-02,4.34,0.7,0,3.25,48,3.28,4.89,49,1
2023-12-09,3.35,0.0,0,0.6666666666666666,49,4.1933333333333325,4.34,49,0
2023-12-16,21.89,0.411764705882353,1,22.08333333333333,50,9.86,3.35,49,0
2023-12-23,3.91,1.4166666666666663,0,33.5,51,9.716666666666669,21.89,49,0
2023-12-30,48.72,0.3793103448275863,1,1.4166666666666667,52,24.84,3.91,49,0
2024-01-06,52.48,-0.2125,1,-20.33333333333333,1,35.03666666666666,48.72,49,1
2024-01-13,50.08,-0.2539682539682539,1,-12.333333333333334,2,50.42666666666667,52.48,49,1
2024-01-27,9.32,0.3571428571428572,0,-8.75,4,37.29333333333333,50.08,49,1
2024-02-03,1.17,-0.2631578947368421,0,-12.333333333333334,5,20.19,9.32,49,0
2024-02-10,3.07,-0.4285714285714286,0,-3.583333333333333,6,4.5200000000000005,1.17,49,0
2024-02-17,0.98,0.1875,0,-3.75,7,1.74,3.07,49,0
2024-02-24,4.07,-0.5263157894736843,0,-1.1666666666666667,8,2.706666666666667,0.98,49,0
2024-03-02,1.64,0.8888888888888888,0,3.5,9,2.23,4.07,49,1
2024-03-09,8.04,-0.1764705882352941,0,-0.25,10,4.583333333333333,1.64,49,0
2024-03-16,2.08,0.2142857142857142,0,-0.8333333333333334,11,3.92,8.04,49,0
