date,1wk_WIS,1_week_roc,is_wis_above_avg,1st_deriv_stencil,week_of_year,moving_avg_WIS,lagged_1wk_WIS,loc_code,holiday_last_week,population,pred_hosp,actual_hosp,is_prediction_over
2023-10-28,0.76,0.0,0,0.5833333333333334,43,1.9533333333333327,1.07,15,0,1455271,13.0944046960097,14.0,False
2023-11-04,2.18,0.0769230769230768,0,0.6666666666666666,44,1.336666666666667,0.76,15,0,1455271,13.0944046960097,16.0,False
2023-11-11,14.06,0.1428571428571428,1,8.916666666666666,45,5.666666666666667,2.18,15,0,1455271,14.8889473647342,29.0,False
2023-11-18,6.42,0.8125,1,5.916666666666667,46,7.553333333333335,14.06,15,1,1455271,14.8889473647342,26.0,False
2023-11-25,0.98,-0.1034482758620689,0,-5.416666666666667,47,7.153333333333332,6.42,15,0,1455271,18.9152609484929,23.0,False
2023-12-02,2.0,-0.1153846153846154,0,4.833333333333333,48,3.1333333333333333,0.98,15,1,1455271,26.8185197545118,33.0,False
2023-12-09,4.15,0.4347826086956521,0,2.5,49,2.376666666666667,2.0,15,0,1455271,35.1442668605666,27.0,True
2023-12-16,4.12,-0.1818181818181817,0,-4.083333333333333,50,3.4233333333333333,4.15,15,0,1455271,40.6002261133245,28.0,True
2023-12-23,1.09,0.0370370370370369,0,2.75,51,3.120000000000001,4.12,15,0,1455271,39.4077005994057,32.0,True
2023-12-30,3.06,0.1428571428571428,0,8.166666666666666,52,2.7566666666666664,1.09,15,0,1455271,40.0342755870441,40.0,True
2024-01-06,14.48,0.25,1,-4.833333333333333,1,6.21,3.06,15,1,1455271,38.1258465564999,25.0,True
2024-01-13,15.07,-0.375,1,-4.416666666666667,2,10.87,14.48,15,1,1455271,52.5480759360172,23.0,True
2024-01-27,14.93,0.3043478260869565,1,-11.416666666666666,4,14.826666666666666,15.07,15,1,1455271,,5.0,False
2024-02-03,1.12,-0.8333333333333334,0,-7.416666666666667,5,10.373333333333331,14.93,15,0,1455271,21.1893013925162,17.0,True
2024-02-10,1.58,2.4,0,4.666666666666667,6,5.876666666666665,1.12,15,0,1455271,13.4631203948247,10.0,True
2024-02-17,4.21,-0.4117647058823529,0,-2.9166666666666665,7,2.303333333333333,1.58,15,0,1455271,10.5749882345504,14.0,False
2024-02-24,8.2,0.3999999999999999,1,4.666666666666667,8,4.663333333333333,4.21,15,0,1455271,8.65670910254475,16.0,False
2024-03-02,2.12,0.1428571428571428,0,-4.0,9,4.843333333333333,8.2,15,1,1455271,4.5652215586584,9.0,False
2024-03-09,7.63,-0.4375,1,2.0,10,5.983333333333332,2.12,15,0,1455271,4.5652215586584,18.0,False
2024-03-16,0.24,1.0,0,-1.25,11,3.33,7.63,15,0,1455271,6.17547971149283,6.0,True
2024-03-23,0.93,-0.6666666666666667,0,-5.5,12,2.933333333333333,0.24,15,0,1455271,6.51147495447852,7.0,False
2024-03-30,1.08,0.1666666666666667,0,1.0,13,0.7499999999999994,0.93,15,0,1455271,6.51147495447852,9.0,False
2023-11-04,0.33,0.0,0,-0.0833333333333333,44,0.4633333333333334,0.53,10,0,989948,0.0,1.0,False
2023-11-11,1.01,0.0,0,0.6666666666666666,45,0.6233333333333334,0.33,10,0,989948,0.0059186539278027,2.0,False
2023-11-18,0.93,1.0,0,-0.0833333333333333,46,0.7566666666666667,1.01,10,1,989948,0.0059186539278027,1.0,False
2023-11-25,0.25,-0.5,0,-0.75,47,0.73,0.93,10,0,989948,2.00029769596677,2.0,True
2023-12-02,3.36,1.0,0,4.666666666666667,48,1.5133333333333334,0.25,10,1,989948,2.07444935665479,10.0,False
2023-12-09,8.49,4.0,1,8.75,49,4.033333333333333,3.36,10,0,989948,2.01039032081548,18.0,False
2023-12-16,10.36,0.8,1,4.5,50,7.403333333333333,8.49,10,0,989948,11.1120930237253,24.0,False
2023-12-23,16.39,0.3333333333333332,1,24.83333333333333,51,11.746666666666668,10.36,10,0,989948,16.3082824438274,60.0,False
2023-12-30,31.6,1.5,1,14.666666666666666,52,19.45,16.39,10,0,989948,54.7727885011604,48.0,True
2024-01-06,33.84,-0.1999999999999999,1,-17.666666666666668,1,27.27666666666667,31.6,10,1,989948,129.946121194666,34.0,True
2024-01-13,21.3,-0.2916666666666666,1,-10.416666666666666,2,28.913333333333338,33.84,10,1,989948,95.4089906682951,32.0,True
2024-01-27,5.12,-0.125,0,-4.083333333333333,4,20.08666666666667,21.3,10,1,989948,,25.0,False
2024-02-03,10.38,-0.1071428571428571,1,-2.1666666666666665,5,12.266666666666666,5.12,10,0,989948,8.6622322911544,25.0,False
2024-02-10,20.51,0.0,1,7.666666666666667,6,12.003333333333336,10.38,10,0,989948,6.40689284077468,36.0,False
2024-02-17,1.61,0.4399999999999999,0,-1.3333333333333333,7,10.833333333333334,20.51,10,0,989948,6.32037250986921,24.0,False
2024-02-24,8.84,-0.3333333333333333,1,-2.083333333333333,8,10.32,1.61,10,0,989948,18.0768406541664,33.0,False
2024-03-02,4.84,0.375,0,2.833333333333333,9,5.096666666666667,8.84,10,1,989948,12.0981741485766,26.0,False
2024-03-09,2.38,-0.2121212121212121,0,-9.333333333333334,10,5.353333333333333,4.84,10,0,989948,12.0981741485766,18.0,False
2024-03-16,1.39,-0.3076923076923077,0,-5.166666666666667,11,2.87,2.38,10,0,989948,23.1439368504815,16.0,True
2024-03-23,1.7,-0.1111111111111111,0,-1.5,12,1.8233333333333333,1.39,10,0,989948,16.914979208575,15.0,True
2024-03-30,2.97,-0.0625,0,-1.0,13,2.02,1.7,10,0,989948,16.914979208575,19.0,False
2023-10-28,8.34,-0.2222222222222222,0,1.6666666666666667,43,4.836666666666667,0.96,17,0,12812508,21.6908448725131,34.0,False
2023-11-04,22.82,0.6190476190476191,0,18.25,44,10.706666666666669,8.34,17,0,12812508,21.6908448725131,54.0,False
2023-11-11,40.82,0.588235294117647,0,18.58333333333333,45,23.99333333333333,22.82,17,0,12812508,27.492739874447,72.0,False
2023-11-18,52.7,0.3333333333333332,0,21.08333333333333,46,38.78,40.82,17,1,12812508,27.492739874447,102.0,False
2023-11-25,93.78,0.4166666666666667,1,49.41666666666666,47,62.43333333333334,52.7,17,0,12812508,47.2365053788517,165.0,False
2023-12-02,21.29,0.6176470588235294,0,53.5,48,55.92333333333334,93.78,17,1,12812508,64.8961775577416,205.0,False
2023-12-09,7.5,0.2424242424242424,0,29.166666666666668,49,40.85666666666666,21.29,17,0,12812508,254.135249725094,254.0,True
2023-12-16,138.08,0.2390243902439024,1,138.33333333333334,50,55.623333333333335,7.5,17,0,12812508,345.005833028804,464.0,False
2023-12-23,18.32,0.8267716535433072,0,189.8333333333333,51,54.63333333333333,138.08,17,0,12812508,419.862103806888,577.0,False
2023-12-30,224.37,0.2435344827586207,1,20.83333333333333,52,126.92333333333332,18.32,17,0,12812508,867.412831580291,511.0,True
2024-01-06,471.8,-0.1143847487001733,1,-115.58333333333331,1,238.16333333333333,224.37,17,1,12812508,1102.36530568457,380.0,True
2024-01-13,391.43,-0.2563600782778865,1,-131.91666666666666,2,362.5333333333333,471.8,17,1,12812508,1306.92651143771,335.0,True
2024-01-27,62.73,-0.1791044776119402,0,-50.25,4,308.65333333333336,391.43,17,1,12812508,,272.0,False
2024-02-03,35.03,-0.0109090909090908,0,-6.833333333333333,5,163.06333333333333,62.73,17,0,12812508,153.335043439318,250.0,False
2024-02-10,56.83,-0.0808823529411765,0,-8.666666666666666,6,51.53,35.03,17,0,12812508,169.368454175299,262.0,False
2024-02-17,89.15,0.048,1,27.75,7,60.33666666666667,56.83,17,0,12812508,166.49185497595,299.0,False
2024-02-24,119.36,0.1412213740458014,1,44.41666666666666,8,88.44666666666667,89.15,17,0,12812508,172.122501776035,331.0,False
2024-03-02,57.36,0.1070234113712373,0,-19.666666666666668,9,88.62333333333333,119.36,17,1,12812508,173.059296433513,269.0,False
2024-03-09,23.21,-0.1873111782477341,0,-41.75,10,66.64333333333333,57.36,17,0,12812508,173.059296433513,258.0,False
2024-03-16,8.55,-0.0408921933085502,0,-24.75,11,29.706666666666667,23.21,17,0,12812508,195.445583745275,216.0,False
2024-03-23,8.34,-0.1627906976744185,0,-27.0,12,13.366666666666667,8.55,17,0,12812508,195.800279450478,204.0,False
2024-03-30,6.33,-0.0555555555555555,0,-12.0,13,7.739999999999999,8.34,17,0,12812508,195.800279450478,182.0,True
2023-10-28,12.76,0.1875,0,6.916666666666667,43,7.169999999999999,2.64,08,0,5773714,17.4527697784234,31.0,False
2023-11-04,21.64,0.631578947368421,0,14.833333333333334,44,12.346666666666666,12.76,08,0,5773714,17.4527697784234,52.0,False
2023-11-11,71.49,0.6774193548387097,1,37.5,45,35.29666666666666,21.64,08,0,5773714,27.0081063767677,102.0,False
2023-11-18,65.8,0.9615384615384616,1,48.75,46,52.97666666666667,71.49,08,1,5773714,27.0081063767677,137.0,False
2023-11-25,11.92,0.3431372549019607,0,7.583333333333333,47,49.73666666666667,65.8,08,0,5773714,75.9235179721114,126.0,False
2023-12-02,59.36,-0.0802919708029197,1,0.8333333333333334,48,45.69333333333333,11.92,08,1,5773714,137.468626202336,153.0,False
2023-12-09,14.86,0.2142857142857142,0,53.083333333333336,49,28.71333333333333,59.36,08,0,5773714,388.964754132147,220.0,True
2023-12-16,9.66,0.4379084967320261,0,47.66666666666666,50,27.96,14.86,08,0,5773714,343.056537251413,252.0,True
2023-12-23,18.91,0.1454545454545455,0,71.08333333333333,51,14.476666666666668,9.66,08,0,5773714,331.53440096482,346.0,False
2023-12-30,126.86,0.373015873015873,1,31.83333333333333,52,51.81,18.91,08,0,5773714,500.129692826541,308.0,True
2024-01-06,182.25,-0.1098265895953757,1,-38.083333333333336,1,109.34,126.86,08,1,5773714,613.35098512146,286.0,True
2024-01-13,257.13,-0.0714285714285714,1,-40.16666666666666,2,188.74666666666667,182.25,08,1,5773714,712.183075760855,197.0,True
2024-01-27,18.95,0.1624365482233503,0,-50.66666666666666,4,152.77666666666664,257.13,08,1,5773714,,196.0,False
2024-02-03,27.74,-0.1441048034934497,0,-9.583333333333334,5,101.27333333333333,18.95,08,0,5773714,128.416741011084,196.0,False
2024-02-10,6.53,0.0,0,-31.0,6,17.73999999999998,27.74,08,0,5773714,119.475843955499,137.0,False
2024-02-17,12.13,-0.3010204081632652,0,-36.083333333333336,7,15.466666666666644,6.53,08,0,5773714,113.465684423835,129.0,False
2024-02-24,3.93,-0.0583941605839416,0,-19.75,8,7.529999999999981,12.13,08,0,5773714,82.7868141602383,93.0,False
2024-03-02,4.47,-0.2790697674418605,0,-28.58333333333333,9,6.843333333333315,3.93,08,1,5773714,66.3769681751858,81.0,False
2024-03-09,31.35,-0.1290322580645161,0,4.666666666666667,10,13.24999999999998,4.47,08,0,5773714,66.3769681751858,96.0,False
2024-03-16,34.4,0.1851851851851851,0,12.75,11,23.40666666666665,31.35,08,0,5773714,42.6899272132842,97.0,False
2024-03-23,9.02,0.0104166666666667,0,-14.0,12,24.92333333333332,34.4,08,0,5773714,39.7220085090949,68.0,False
2024-03-30,3.5,-0.2989690721649485,0,-29.0,13,15.63999999999998,9.02,08,0,5773714,39.7220085090949,49.0,False
2023-10-28,218.28,0.071917808219178,1,80.75,43,129.26666666666668,88.74,12,0,21538187,219.644503862212,444.0,False
2023-11-04,136.41,0.4185303514376997,1,69.33333333333333,44,147.80999999999997,218.28,12,0,21538187,219.644503862212,462.0,False
2023-11-11,326.41,0.0405405405405405,1,106.33333333333331,45,227.0333333333334,136.41,12,0,21538187,294.030681840221,652.0,False
2023-11-18,276.78,0.4112554112554112,1,134.0,46,246.53333333333333,326.41,12,1,21538187,294.030681840221,701.0,False
2023-11-25,35.56,0.0751533742331287,0,38.91666666666666,47,212.91666666666663,276.78,12,0,21538187,396.812443397067,748.0,False
2023-12-02,24.91,0.0670470756062766,0,25.33333333333333,48,112.41666666666669,35.56,12,1,21538187,793.171433243132,763.0,True
2023-12-09,19.82,0.0200534759358288,0,40.0,49,26.76333333333333,24.91,12,0,21538187,887.813436329199,844.0,True
2023-12-16,31.2,0.1061598951507207,0,101.66666666666669,50,25.31,19.82,12,0,21538187,949.434744968989,989.0,False
2023-12-23,215.91,0.1718009478672986,1,273.5833333333333,51,88.97666666666667,31.2,12,0,21538187,1080.48439473805,1336.0,False
2023-12-30,51.11,0.3508594539939333,0,265.75,52,99.40666666666668,215.91,12,0,21538187,1153.56623203989,1416.0,False
